ParticipantID,Block,TrialIndex,TrialType,Expectancy,SignalColor,MergeSide,TimeAbsolute,TimeRelative,X,Y,Z,LaneDeviation,SpeedMPH,TrialEnded,TrialEndReason,TrialEndTimeAbs,TrialEndTimeRel,SurveyQuestion,SurveyResponse,SurveyRT
123,Day,0,Practice,Expected,Red,Left,14.25,11.75,-0.0422,0.8681,175.1293,-0.0422,71.92,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,14.36,11.85,-0.0305,0.8681,178.4236,-0.0305,72.58,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,14.46,11.96,-0.0127,0.8681,181.7080,-0.0127,73.23,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,14.56,12.06,0.0078,0.8681,185.1516,0.0078,73.89,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,14.66,12.16,0.0299,0.8681,188.5302,0.0299,74.54,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,14.76,12.26,0.0552,0.8681,191.9429,0.0552,75.20,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,14.87,12.37,0.0824,0.8681,195.4183,0.0824,75.96,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,14.97,12.47,0.1080,0.8681,198.9879,0.1080,76.61,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,15.08,12.58,0.1176,0.8681,202.6617,0.1176,77.25,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,15.18,12.68,0.1193,0.8681,206.2834,0.1193,77.91,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,15.29,12.79,0.1168,0.8681,210.0062,0.1168,78.66,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,15.40,12.90,0.1095,0.8681,213.7863,0.1095,79.27,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,15.50,13.00,0.0913,0.8681,217.4985,0.0913,79.79,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,15.61,13.11,0.0641,0.8681,221.2857,0.0641,80.05,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,15.71,13.21,0.0297,0.8681,225.1016,0.0297,80.14,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,15.82,13.32,-0.0078,0.8681,228.8791,-0.0078,80.16,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,15.92,13.42,-0.0459,0.8681,232.6709,-0.0459,80.16,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,16.03,13.53,-0.0861,0.8681,236.4577,-0.0861,80.14,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
123,Day,0,Practice,Expected,Red,Left,16.13,13.63,-0.1172,0.8681,240.0638,-0.1172,80.12,1,Manual_P,16.46,13.96,What was the color of the REAR turn signal?,AMBER,4.499
